Name,Website,Phone,City,State,Full.Address,Date.Verified,Lon,Lat
Planned Parenthood- Glendale Health Center***,https://www.plannedparenthood.org/health-center/arizona/glendale/85304/glendale-health-center-3963-90030,(602) 277-7526 ,Glendale,Arizona,"5771 W Eugie Ave, Glendale, Arizona",3/1/18,-112.1856343,33.60880305
Planned Parenthood- New Tempe Health Center***,https://www.plannedparenthood.org/health-center/arizona/tempe/85283/new-tempe-regional-health-center-4256-90030,(602) 277-7526 ,Tempe,Arizona,"1837 E Baseline Rd., Tempe, Arizona",3/1/18,-111.9062943,33.37727915
Planned Parenthood- Tuscon Women's Center***,https://www.plannedparenthood.org/health-center/arizona/tucson/85712/tucson-womens-center-4178-90030,(520) 408-7526,Tucson,Arizona,"5240 E Knight Drive, Tucson, Arizona",3/1/18,-86.63692574,34.75772898
Little Rock Family Planning***,https://lrfps.com/,(800) 272-2183,Little Rock,Arkansas,"4 Office Park Dr, Little Rock, Arkansas",1/10/18,-92.3975035,34.7462098
Planned Parenthood- Fayetteville Health Center*,https://www.plannedparenthood.org/health-center/arkansas/fayetteville/72703/fayetteville-health-center-2972-90740,(855) 841-7526 ,Fayetteville,Arkansas,"3729 N Crossover Rd, Fayetteville, Arkansas",1/10/18,-94.11907711,36.11834305
Planed Parenthood- Little Rock Health Center*,https://www.plannedparenthood.org/health-center/arkansas/little-rock/72204/little-rock-health-center-2807-90740,855-841-7526 ,Little Rock,Arkansas,"5921 W 12th Street, Little Rock, Arkansas",1/10/18,-92.34056195,34.74127836
Alliance Women's Medical Group,http://alliancewomensmedicalgroup.biz/,(213) 353-4971 ,Los Angeles,California,"1930 Wilshire Blvd, Los Angeles, California",4/14/17,-118.2740231,34.05699618
Family Planning Specialist Medical Group,https://familyplanningspecialists.com/,(510) 268-3720 ,Oakland,California,"200 Webster St, Oakland, California",4/11/17,-122.2734538,37.7955379
FPA Women's Health- Bakersfield,http://www.fpawomenshealth.com/locations/bakersfield-ca-2/,(661) 633-5266 ,Bakersfield,California,"2500 H St, Bakersfield, California",4/14/17,-119.021056,35.382072
FPA Women's Health- Canoga Park,http://www.fpawomenshealth.com/locations/5447/,(877) 883-7264 ,Canoga Park,California,"7023 Owensmouth Ave, Canoga Park, California",4/14/17,-118.6016569,34.19785878
FPA Women's Health- Downey,http://www.fpawomenshealth.com/locations/downey-ca/,(562) 595-5653 ,Downey,California,"8635 Firestone Blvd, Downey, California",4/14/17,-118.1098624,33.9282774
FPA Women's Health- Fresno,http://www.fpawomenshealth.com/locations/fresno-ca/,(559) 233-8657 ,Fresno,California,"165 N Clark St, Fresno, California",4/14/17,-119.7860223,36.7468505
FPA Women's Health- Glendale,http://www.fpawomenshealth.com/locations/glendale-ca/,(818) 502-1341,Glendale,California,"372 Arden Ave, Glendale, California",4/14/17,-118.2604341,34.15838485
FPA Women's Health- Long Beach,http://www.fpawomenshealth.com/locations/long-beach-ca/,(562) 595-5653,Long Beach,California,"2777 Long Beach Blvd, Long Beach, California",4/14/17,-118.2019791,33.8719617
FPA Women's Health- Los Angeles (Downtown),http://www.fpawomenshealth.com/locations/los-angeles-downtown-ca/,(213) 738-7283 ,Los Angeles,California,"601 S Westmoreland Ave, Los Angeles, California",4/14/17,-118.28919,34.061683
FPA Women's Health- Mission Hills,http://www.fpawomenshealth.com/locations/mission-hills-ca/,(818) 893-6949,Mission Hills,California,"10200 Sepulveda Blvd, Mission Hills, California",4/14/17,-118.4672,34.255573
FPA Women's Heath- Modesto,http://www.fpawomenshealth.com/locations/modesto-ca/,1-800-338-1361,Modesto,California,"2030 Coffee Rd, Modesto, California",4/14/17,-120.9756195,37.67226479
FPA Women's Health- Oakland,http://www.fpawomenshealth.com/locations/oakland-ca/,(510) 899-7099 ,Oakland,California,"400 29th St, Oakland, California",4/14/17,-122.2651937,37.81797535
FPA Women's Health- Oxnard,http://www.fpawomenshealth.com/locations/oxnard-ca/,(877) 883-7264 ,Oxnard,California,"1700 Lombard St, Oxnard, California",4/14/17,-119.149188,34.218698
FPA Women's Health- Pomona,http://www.fpawomenshealth.com/locations/pomona/,(909) 626-2463 ,Pomona,California,"1996 Indian Hill Blvd, Pomona, California",4/14/17,-117.719154,34.07928707
FPA Women's Health- Riverside,http://www.fpawomenshealth.com/locations/riverside-ca/,951-637-2100,Riverside,California,"3660 Park Sierra Dr, Riverside, California",4/14/17,-117.472506,33.905473
FPA Women's Health- Sacramento,http://www.fpawomenshealth.com/locations/sacramento-ca/,(916) 483-2885 ,Sacramento,California,"2322 Butano Dr, Sacramento, California",4/14/17,-121.381615,38.60660554
FPA Women's Health- San Bernardino,http://www.fpawomenshealth.com/locations/san-bernardino-ca/,(909) 885-0282,San Bernardino,California,"855 E Hospitality Ln, San Bernardino, California",4/14/17,-117.2693286,34.0666346
FPA Women's Health- San Diego (Downtown),http://www.fpawomenshealth.com/locations/san-diego-downtown-ca/,(619) 481-3376 ,San Diego,California,"4033 Third Ave, San Diego, California",4/14/17,-117.1621029,32.730331
FPA Women's Health- San Diego (North),http://www.fpawomenshealth.com/locations/san-diego-north-ca/,(858) 547-7100,San Diego,California,"7340 Miramar Rd, San Diego, California",4/14/17,-117.155322,32.883802
FPA Women's Health- Santa Ana,http://www.fpawomenshealth.com/locations/santa-ana-ca/,(657) 859-5463 ,Santa Ana,California,"1901 N Tustin Ave, Santa Ana, California",4/14/17,-117.8348125,33.76254735
FPA Women's Health- Santa Monica,http://www.fpawomenshealth.com/locations/santa-monica/,(310) 820-8084,Santa Monica,California,"12304 Santa Monica Blvd, Santa Monica, California",4/14/17,-118.475953,34.0319889
FPA Women's Health- Temecula ,http://www.fpawomenshealth.com/locations/temecula-ca/,(951) 695-5471 ,Temecula,California,"41715 Winchester Rd, Temecula, California",4/14/17,-117.1613701,33.5238474
FPA Women's Health- Torrance,http://www.fpawomenshealth.com/locations/torrance-ca/,(310) 373-1042,Torrance,California,"3655 Lomita Blvd, Torrance, California",4/14/17,-118.3487341,33.81492539
Her Smart Choice,http://www.hersmartchoice.com/,(213) 944-8088,Los Angeles,California,"2226 East Cesar E Chavez Avenue, Los Angeles, California",4/14/17,-118.2235122,34.0533615
My Choice Medical Center- Los Angeles,http://www.mychoicemedicalcenter.com/,(323) 677-2167,Los Angeles,California,"4903 W Pico Blvd, Los Angeles, California",4/11/17,-118.3645061,34.0510898
My Choice Medical- Van Nuys,http://www.mychoicemedicalcenter.com/,(866) 397-3070,Van Nuys,California,"7232 Van Nuys Blvd, Van Nuys, California",4/11/17,-118.4486597,34.20182994
Pro-Choice Medical Center: Dr. Josepha Seletz,http://www.prochoicemedical.com/,(310) 247-8745,Beverly Hills,California,"99 N La Cienega Blvd, Beverly Hills, California",1/24/17,-118.3763614,34.0699142
Planned Parenthood- Alhambra Health Center,https://www.plannedparenthood.org/health-center/california/alhambra/91801/alhambra-health-center-3561-90090,(626) 798-0706,Alhambra,California,"330 S Garfield Ave, Alhambra, California",3/30/17,-118.1240468,34.091553
Planned Parenthood- Anaheim Health Center,https://www.plannedparenthood.org/health-center/california/anaheim/92805/anaheim-health-center-2284-90160,(714) 922-4100,Anaheim,California,"303 W. Lincoln Ave., Anaheim, California",3/30/17,-117.9190718,33.83438395
Planned Parenthood- Antioch Health Center,https://www.plannedparenthood.org/health-center/california/antioch/94509/antioch-health-center-2573-90200,(925) 754-4550,Antioch,California,"1104 Buchanan Rd, Antioch, California",3/30/17,-121.8226446,37.99831004
Planned Parenthood- Burbank Health Center,https://www.plannedparenthood.org/health-center/california/burbank/91506/burbank-health-center-2236-90070,(800) 576-5544 ,Burbank,California,"916 W Burbank Blvd, Burbank, California",3/30/17,-86.63692574,34.75772898
Planned Parenthood- Canoga Park Health Center,https://www.plannedparenthood.org/health-center/california/canoga-park/91303/canoga-park-health-center-2235-90070,(800) 576-5544 ,Canoga Park,California,"21001 Sherman Way, Canoga Park, California",3/30/17,-118.590762,34.201239
Planned Parenthood- Chico Health Center,https://www.plannedparenthood.org/health-center/california/chico/95973/chico-health-center-2770-90200,(530) 342-8367,Chico,California,"3100 Cohasset Rd, Chico, California",3/30/17,-121.843498,39.771875
Planned Parenthood- Chula Vista Health Center,https://www.plannedparenthood.org/health-center/california/chula-vista/91911/chula-vista-center-2328-90110,(888) 743-7526 ,Chula Vista,California,"1295 Broadway, Chula Vista, California",3/30/17,-117.0778292,32.6040308
Planned Parenthood- Clearlake Health Center,https://www.plannedparenthood.org/health-center/california/clearlake/95422/clearlake-health-center-4068-90200,(707) 995-2261 ,Clearlake,California,"14671 Olympic Dr, Clearlake, California",3/30/17,-122.6384952,38.96176568
Planned Parenthood- Coachella Health Center,https://www.plannedparenthood.org/health-center/california/coachella/92236/coachella-center-2186-90110,(888) 743-7526,Coachella,California,"49-111 California 111, Coachella, California",3/30/17,-86.63692574,34.75772898
Planned Parenthood- Concord Health Center,https://www.plannedparenthood.org/health-center/california/concord/94520/concord-health-center-3269-90200,(925) 676-0300 ,Concord,California,"2185 Pacheco Street, Concord, California",3/30/17,-122.0347482,37.9790564
Planned Parenthood- Costa Mesa Health Center,https://www.plannedparenthood.org/health-center/california/costa-mesa/92627/costa-mesa-health-center-2286-90160,(714) 922-4100 ,Costa Mesa,California,"601 W 19th St, Costa Mesa, California",3/30/17,-117.9235855,33.6430425
Planned Parenthood- El Cajon Health Center,https://www.plannedparenthood.org/health-center/california/el-cajon/92021/el-cajon-center-2329-90110,(888) 743-7526,El Cajon,California,"1685 E. Main Street, El Cajon, California",3/30/17,-116.91871,32.811167
Planned Parenthood- Imperial Valley Health Center,https://www.plannedparenthood.org/health-center/california/el-centro/92243/imperial-valley-health-center-4182-90110,(760) 594-9100,El Centro,California,"1463 S 4th St, El Centro, California",3/30/17,-115.5522904,32.77900779
Planned Parenthood- El Cerrito Health Center,https://www.plannedparenthood.org/health-center/california/el-cerrito/94530/el-cerrito-health-center-3940-90200,(510) 527-5806,El Cerrito,California,"320 El Cerrito Plaza, El Cerrito, California",3/30/17,-122.2981907,37.899382
Planned Parenthood- El Monte Health Center,https://www.plannedparenthood.org/health-center/california/el-monte/91732/el-monte-health-center-2322-90070,(800) 576-5544,El Monte,California,"4786 Peck Rd, El Monte, California",3/30/17,-118.0285506,34.0683226
Planned Parenthood- Escondido Center,https://www.plannedparenthood.org/health-center/california/escondido/92025/escondido-center-2331-90110,(888) 743-7526,Escondido,California,"347 W Mission Ave, Escondido, California",3/30/17,-117.0899501,33.12884146
Planned Parenthood- Eureka Health Center,https://www.plannedparenthood.org/health-center/california/eureka/95503/eureka-health-center-2301-90200,(707) 442-5700 ,Eureka,California,"3225 Timber Fall Ct, Eureka, California",3/30/17,-86.63692574,34.75772898
Planned Parenthood- Fairfield Health Center,https://www.plannedparenthood.org/health-center/california/fairfield/94533/fairfield-health-center-2700-90200,(707) 429-8855,Fairfield,California,"1325 Travis Blvd, Fairfield, California",3/30/17,-122.0561253,38.25786154
Planned Parenthood- Family First Health Center,https://www.plannedparenthood.org/health-center/california/fresno/93710/family-first-health-center-2365-90130,(559) 446-1515 ,Fresno,California,"6095 N First St, Fresno, California",3/30/17,-119.7724272,36.7544266
Planned Parenthood- Fulton Street Health Center,https://www.plannedparenthood.org/health-center/california/fresno/93728/fulton-street-health-center-2364-90130,(559) 488-4900,Fresno,California,"650 N Fulton St, Fresno, California",3/30/17,-119.7862363,36.73048389
Planned Parenthood- Gilroy Health Center,https://www.plannedparenthood.org/health-center/california/gilroy/95020/gilroy-health-center-2433-90130,(408) 847-1739 ,Gilroy,California,"760 Renz Ln, Gilroy, California",3/30/17,-121.5575891,37.00655017
Planned Parenthood- Glendora Health Center,https://www.plannedparenthood.org/health-center/california/glendora/91740/glendora-health-center-4070-90090,(626) 798-0706,Glendora,California,"130 W Rte 66, Glendora, California",3/30/17,-117.8633379,34.12889206
Planned Parenthood- Hayward Health Center,https://www.plannedparenthood.org/health-center/california/hayward/94541/hayward-health-center-4150-90130,(510) 300-3800,Hayward,California,"1032 A St, Hayward, California",3/30/17,-122.0846902,37.6733534
Planned Parenthood- Lakewood Health Center,https://www.plannedparenthood.org/health-center/california/lakewood/90713/lakewood-health-center-2359-90070,(800) 576-5544 ,Lakewood,California,"5525 Del Amo Blvd, Lakewood, California",3/30/17,-118.0819351,33.845958
Planned Parenthood- South Bay Health Center,https://www.plannedparenthood.org/health-center/california/lawndale/90260/south-bay-health-center-2477-90070,(800) 576-5544,South Bay,California,"14623 Hawthorne Blvd, South Bay, California",3/30/17,-86.63692574,34.75772898
Planned Parenthood- Long Beach Health Center,https://www.plannedparenthood.org/health-center/california/long-beach/90806/long-beach-health-center-3945-90070,(800) 576-5544 ,Long Beach,California,"2690 Pacific Ave, Long Beach, California",3/30/17,-118.1934034,33.8057779
Planned Parenthood- Dorothy Hecht Health Center,https://www.plannedparenthood.org/health-center/california/los-angeles/90003/dorothy-hecht-health-center-2465-90070,(800) 576-5544,Los Angeles,California,"8520 So. Broadway, Los Angeles, California",3/30/17,-86.63692574,34.75772898
Planned Parenthood- East Los Angeles Health Center,https://www.plannedparenthood.org/health-center/california/los-angeles/90022/east-los-angeles-health-center-3375-90070,(800) 576-5544,East Los Angeles,California,"5068 Whittier Blvd, East Los Angeles, California",3/30/17,-118.1604441,34.0206711
Planned Parenthood- Hollywood Health Center,https://www.plannedparenthood.org/health-center/california/los-angeles/90029/hollywood-health-center-2466-90070,(800) 576-5544 ,Los Angeles,California,"1014 N Vermont Ave, Los Angeles, California",3/30/17,-118.2916324,34.08999671
Planned Parenthood- S. Mark Taper Foundation Center for Medical Training,https://www.plannedparenthood.org/health-center/california/los-angeles/90007/s.-mark-taper-foundation-center-for-medical-training-3862-90070,(800) 576-5544 ,Los Angeles,California,"400 W 30th St, Los Angeles, California",3/30/17,-118.2759405,34.02403607
Planned Parenthood- Madera Health Center,https://www.plannedparenthood.org/health-center/california/madera/93637/madera-health-center-2363-90130,(559) 675-1133 ,Madera,California,"500 E Almond Ave, Madera, California",3/30/17,-120.0551278,36.94548779
Planned Parenthood- Mission Viejo,https://www.plannedparenthood.org/health-center/california/mission-viejo/92691/mission-viejo-health-center-2288-90160,(714) 922-4100,Mission Viejo,California,"26137 La Paz Rd, Mission Viejo, California",3/30/17,-117.6738731,33.6011633
Planned Parenthood- Modesto Health Center,https://www.plannedparenthood.org/health-center/california/modesto/95350/modesto-health-center-2527-90130,(209) 579-2300,Modesto,California,"1431 McHenry Ave, Modesto, California",3/30/17,-120.9940392,37.6647296
Planned Parenthood- Moreno Valley Health Center,https://www.plannedparenthood.org/health-center/california/moreno-valley/92553/moreno-valley-center-2188-90110,(888) 743-7526,Moreno Valley,California,"12900 Frederick St, Moreno Valley, California",4/11/17,-117.261299,33.932983
Planned Parenthood- Mountain View Health Center,https://www.plannedparenthood.org/health-center/california/mountain-view/94040/mountain-view-health-center-2310-90130,(650) 948-0807,Mountain View,California,"225 San Antonio Rd, Mountain View, California",4/11/17,-122.1085698,37.40817638
Planned Parenthood- Napa Health Center,https://www.plannedparenthood.org/health-center/california/napa/94559/napa-health-center-2702-90200,(707) 252-8050 ,Napa,California,"1735 Jefferson St, Napa, California",4/11/17,-122.2943582,38.30333364
Planned Parenthood- North Highlands Health Center,https://www.plannedparenthood.org/health-center/california/north-highlands/95660/north-highlands-health-center-2201-90130,(916) 332-5715,North Highlands,California,"5700 Watt Ave, North Highlands, California",4/11/17,-86.63692574,34.75772898
Planned Parenthood- East Oakland/Coliseum Health Center,https://www.plannedparenthood.org/health-center/california/oakland/94621/east-oakland---coliseum-health-center-4188-90130,(510) 746-4700 ,Oakland,California,"8480 Enterprise Way, Oakland, California",4/11/17,-122.1923764,37.74228815
Planned Parenthood- West Oakland Health Center,https://www.plannedparenthood.org/health-center/california/oakland/94607/west-oakland-4090-90130,(510) 300-3800 ,Oakland,California,"1682 7th St, Oakland, California",4/11/17,-122.3031427,37.8075048
Planned Parenthood- Orange Health Center,https://www.plannedparenthood.org/health-center/california/orange/92866/orange-health-center-3264-90160,(714) 922-4100,Orange,California,"700 S Tustin St, Orange, California",4/11/17,-117.8358585,33.775829
Planned Parenthood- Pasadena Health Center,https://www.plannedparenthood.org/health-center/california/pasadena/91104/pasadena-health-center-3265-90090,(626) 798-0706,Pasadena,California,"1045 N Lake Ave, Pasadena, California",4/11/17,-118.1325062,34.160991
Planned Parenthood- Pittsburg Health Center,https://www.plannedparenthood.org/health-center/california/pittsburg/94565/pittsburg-health-center-3074-90200,(925) 439-1237,Pittsburg,California,"3715 Railroad Ave, Pittsburg, California",4/11/17,-121.8896328,38.0163023
Planned Parenthood- Pomona Health Center,https://www.plannedparenthood.org/health-center/california/pomona/91767/pomona-health-center-2208-90070,(800) 576-5544 ,Pomona,California,"1550 N Garey Ave, Pomona, California",4/11/17,-117.752121,34.073518
Planned Parenthood- Rancho Mirago Family Planning Center,https://www.plannedparenthood.org/health-center/california/rancho-mirage/92270/rancho-mirage-family-planning-center-2325-90110,(888) 743-7526,Rancho Mirago,California,"71777 San Jacinto Dr, Rancho Mirago, California",4/11/17,-86.63692574,34.75772898
Planned Parenthood- Redding Health Center,https://www.plannedparenthood.org/health-center/california/redding/96002/redding-health-center-2376-90200,(530) 351-7100,Redding,California,"2935 Bechelli Ln, Redding, California",4/11/17,-122.3623491,40.56458535
Planned Parenthood- Redwood City Health Center,https://www.plannedparenthood.org/health-center/california/redwood-city/94061/redwood-city-health-center-4129-90130,(650) 503-7810 ,Redwood City,California,"2907 El Camino Real, Redwood City, California",4/11/17,-86.63692574,34.75772898
Planned Parenthood- Central Richmond Health Center,https://www.plannedparenthood.org/health-center/california/richmond/94801/central-richmond-health-center-2790-90200,(510) 232-1250 ,Richmond,California,"340 Marina Way, Richmond, California",4/11/17,-122.3560906,37.93619223
Planned Parenthood- Hilltop-Richmond Health Center,https://www.plannedparenthood.org/health-center/california/richmond/94806/hilltop-richmond-health-center-2791-90200,(510) 222-5290,Richmond,California,"2970 Hilltop Mall Rd, Richmond, California",4/11/17,-122.3304044,37.9782565
Planned Parenthood- Riverside Health Center,https://www.plannedparenthood.org/health-center/california/riverside/92506/riverside-health-center-2187-90110,(888) 743-7526,Riverside,California,"3772 Tibbetts St, Riverside, California",4/11/17,-117.3993364,33.9471918
Planned Parenthood- Roseville Health Center,https://www.plannedparenthood.org/health-center/california/roseville/95661/roseville-health-center-2197-90130,(916) 781-3310,Roseville,California,"729 Sunrise Ave, Roseville, California",4/11/17,-121.270365,38.7340535
Planned Parenthood- B Street Health Center,https://www.plannedparenthood.org/health-center/california/sacramento/95816/b-street-health-center-2200-90130,(916) 446-6921,Sacramento,California,"201 29th St, Sacramento, California",4/11/17,-121.4638982,38.58237044
Planned Parenthood- Fruitridge Health Center,https://www.plannedparenthood.org/health-center/california/sacramento/95820/fruitridge-health-center-2198-90130,(916) 452-7305,Sacramento,California,"5385 Franklin Blvd, Sacramento, California",4/11/17,-121.4539317,38.3837701
Planned Parenthood- Salinas Health Center,https://www.plannedparenthood.org/health-center/california/salinas/93901/salinas-health-center-2228-90130,(831) 758-8261,Salinas,California,"316 N Main St, Salinas, California",4/11/17,-121.653385,36.68250665
Planned Parenthood- San Bernardino Health Center,https://www.plannedparenthood.org/health-center/california/san-bernardino/92408/san-bernardino-health-center-2282-90160,(909) 890-5511,San Bernardino,California,"1873 Commercenter W, San Bernardino, California",4/11/17,-117.2852903,34.06786597
Planned Parenthood- College Avenue Sarah Weddington Center,https://www.plannedparenthood.org/health-center/california/san-diego/92115/college-avenue-sarah-weddington-center-2324-90110,(888) 743-7526,San Diego,California,"4575 College Ave, San Diego, California",4/11/17,-117.06659,32.760328
Planned Parenthood- Euclid Avenue Parker Health Center,https://www.plannedparenthood.org/health-center/california/san-diego/92114/euclid-avenue-parker-center-2334-90110,(888) 743-7526 ,San Diego,California,"220 Euclid Ave, San Diego, California",4/11/17,-117.085717,32.706351
Planned Parenthood- First Avenue Family Planning Michelle Wagner Center,https://www.plannedparenthood.org/health-center/california/san-diego/92101/first-avenue-specialty-services-michelle-wagner-center-4036-90110,(888) 743-7526,San Diego,California,"2017 1st Ave, San Diego, California",4/11/17,-117.163608,32.726452
Planned Parenthood- Kearny Mesa Health Center,https://www.plannedparenthood.org/health-center/california/san-diego/92111/kearny-mesa-center-2332-90110,(888) 743-7526 ,San Diego,California,"7526 Clairemont Mesa Blvd, San Diego, California",4/11/17,-117.1572762,32.83277849
Planned Parenthood- Mira Mesa Health Center,https://www.plannedparenthood.org/health-center/california/san-diego/92126/mira-mesa-center-2333-90110,(888) 743-7526,San Diego,California,"10737 Camino Ruiz Medical Mall, San Diego, California",4/11/17,-86.63692574,34.75772898
Planned Parenthood- Mission Bay Mimi Brien Health Center,https://www.plannedparenthood.org/health-center/california/san-diego/92109/mission-bay-mimi-brien-health-center-2330-90110,(888) 743-7526,San Diego,California,"4501 Mission Bay Dr, San Diego, California",4/11/17,-117.217073,32.803553
Planned Parenthood- San Fransisco Health Center,https://www.plannedparenthood.org/health-center/california/san-francisco/94110/san-francisco-health-center-3997-90200,(415) 821-1282,San Fransisco,California,"1650 Valencia St, San Fransisco, California",4/11/17,-86.63692574,34.75772898
Planned Parenthood- Eastside Health Center,https://www.plannedparenthood.org/health-center/california/san-jose/95127/eastside-health-center-2435-90130,(408) 729-7600 ,San Jose,California,"3131 Alum Rock Ave, San Jose, California",4/11/17,-121.827112,37.36612937
Planned Parenthood- San Jose Health Center,https://www.plannedparenthood.org/health-center/california/san-jose/95126/san-jose-health-center-3263-90130,(408) 287-7526,San Jose,California,"1691 The Alameda, San Jose, California",4/11/17,-121.9194877,37.3371526
Planned Parenthood- San Luis Obispo,https://www.plannedparenthood.org/health-center/california/san-luis-obispo/93401/san-luis-obispo-center-2252-90170,(888) 898-3806 ,San Luis Obispo,California,"743 Pismo St, San Luis Obispo, California",4/11/17,-120.6618093,35.2768527
Planned Parenthood- San Mateo Health Center,https://www.plannedparenthood.org/health-center/california/san-mateo/94402/san-mateo-health-center-4104-90130,(650) 235-7940,San Mateo,California,"29 Baywood Ave, San Mateo, California",4/11/17,-122.3288398,37.56475727
Planned Parenthood- San Rafael Center,https://www.plannedparenthood.org/health-center/california/san-rafael/94901/san-rafael-health-center-4114-90200,(415) 459-4907,San Rafael,California,"2 H St, San Rafael, California",4/11/17,-122.538499,37.974301
Planned Parenthood- San Ramon Health Center,https://www.plannedparenthood.org/health-center/california/san-ramon/94583/san-ramon-health-center-2572-90200,(925) 838-2108,San Ramon,California,"200 Porter Dr, San Ramon, California",4/11/17,-121.99143,37.774834
Planned Parenthood- Santa Ana Health Center,https://www.plannedparenthood.org/health-center/california/santa-ana/92705/santa-ana-health-center-2287-90160,(714) 922-4100,Santa Ana,California,"1421 17th St, Santa Ana, California",4/11/17,-117.8534383,33.7598769
Planned Parenthood- Santa Barbara Health Center,https://www.plannedparenthood.org/health-center/california/santa-barbara/93101/santa-barbara-center-3268-90170,(888) 898-3806,Santa Barbara,California,"518 Garden St, Santa Barbara, California",4/11/17,-119.692172,34.420938
Planned Parenthood- Westside Health Center,https://www.plannedparenthood.org/health-center/california/santa-cruz/95060/westside-health-center-2232-90130,(831) 426-5550,Santa Cruz,California,"1119 Pacific Ave, Santa Cruz, California",4/11/17,-122.0256416,36.97194064
Planned Parenthood- Santa Maria Health Center,https://www.plannedparenthood.org/health-center/california/santa-maria/93454/santa-maria-center-2250-90170,(888) 898-3806 ,Santa Maria,California,"415 E Chapel St, Santa Maria, California",4/11/17,-120.4311526,34.95438371
Planned Parenthood- Seaside Health Center,https://www.plannedparenthood.org/health-center/california/seaside/93955/seaside-health-center-2233-90130,(831) 394-1691,Seaside,California,"625 Hilby Ave, Seaside, California",4/11/17,-121.8506064,36.60231352
Planned Parenthood- Santa Monica Health Center,https://www.plannedparenthood.org/health-center/california/santa-monica/90401/santa-monica-health-center-2476-90070,(800) 576-5544,Santa Monica,California,"1316 3rd Street Promenade1, Santa Monica, California",4/11/17,-86.63692574,34.75772898
Planned Parenthood- Santa Rosa Health Center,https://www.plannedparenthood.org/health-center/california/santa-rosa/95405/santa-rosa-health-center-3990-90200,(707) 527-7656,Santa Rosa,California,"1140 Sonoma Ave, Santa Rosa, California",4/11/17,-122.6994675,38.4403665
Planned Parenthood- Eastland Plaza Health Center,https://www.plannedparenthood.org/health-center/california/stockton/95205/eastland-plaza-health-center-2529-90130,(209) 466-2081,Stockton,California,"678 N Wilson Way, Stockton, California",4/11/17,-121.2734744,37.962479
Planned Parenthood- North Stockton Health Center,https://www.plannedparenthood.org/health-center/california/stockton/95207/north-stockton-health-center-2528-90130,(209) 477-4103,Stockton,California,"4555 Precissi Ln, Stockton, California",4/11/17,-121.3154442,37.98913275
